Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Oakbio,http://www.oakbio.com/technology-2/,"Oakbio aims to reduce waste carbon and other green house gases (GHGs) while generating profitable, renewable products. Oakbio has developed an efficient, proprietary biotechnology platform for converting streams of waste carbon into readily marketable, high value products. Oakbio’s technology has demonstrated the conversion of CO2 from flue gas and other carbon sources into food and feed products, bioplastics, and chemicals.",Seed,"50,000",Carbon Capture,Distant,2011,USA,Cement,TRUE,,,,
Carbonova,https://www.carbonova.com/,"Carbonova is a technology company developing a solution to produce high-volume superior carbon nanofibers (Carbonova fiber) for use in massive market applications. Carbonova technology utilises huge amounts of greenhouse gases feedstocks annually and turns them into a sustainable and valuable solid commodity. Carbon nanofiber is a material with extraordinary mechanical, thermal, electrical, and chemical properties. It has applications in a wide variety of industries including transportation vehicles, concrete, electronic devices, textiles, ink, coatings, lubricants, tires, and agriculture.",Undisclosed,Undisclosed,Carbon Capture,Existing,2017,Canada,Cement,TRUE,,,,
CO2Concrete,https://www.co2concrete.com/,"CO2Concrete is turning carbon dioxide (CO2) emissions into construction materials and products without a need for carbon capture. Our patent-pending technology upcycles CO2 with unparalleled efficiency, cost-effectiveness, and throughput into precast CO2Concrete™ products. This breakthrough technology replaces the more than century-old paradigm of energy-intensive and CO2-intensive manufacturing of ordinary portland cement (OPC)-based concrete, and concrete products. By converting CO2 emissions from power plants, cement plants, or petrochemical production into CO2Concrete™, we will enable base industries to transform and achieve their carbon emission reduction goals",Seed,"1,500,000",Carbon Capture,Distant,2018,USA,Cement,TRUE,,,,
Calix,https://www.calix.global/,"Calix is leading a consortium of some of the world’s largest cement and lime companies with the goal of developing a breakthrough carbon capture process that would enable both cement and lime industries to reduce their carbon dioxide (CO2) emissions dramatically. A PROJECT OF THE EUROPEAN UNION HORIZON 2020 RESEARCH & INNOVATION

The core technology – Direct Separation
Calix’s technology re-engineers the existing process flows of a traditional calciner, indirectly heating the limestone via a special steel vessel. This unique system enables pure CO2 to be captured as it is released from the limestone, as the furnace exhaust gases are kept separate. The solution requires no additional chemicals or processes, and minimal changes to the conventional processes for cement.",Public,Undisclosed,Carbon Capture,Emerging,2005,Australia,Cement,TRUE,,,,
Svante Inc,https://svanteinc.com/,"Formerly known as Inventys, the developer of the most energy and capital-efficient technology for capturing carbon dioxide from industrial flue gas streams, is building a CO2 marketplace by matching CO2 emitters with CO2 users. Our proprietary VeloxoTherm process is half the cost of existing post-combustion CO2 capture technologies and will finally enable the widespread adoption of carbon capture utilization and storage. The company is building a 30-tonne per day carbon capture pilot plant with Husky Energy in Canada. Partner with Carboncure.

Svante’s technology is currently being deployed in the field at pilot plant-scale by industry leaders in the energy and cement manufacturing sectors. The CO2MENT Project – a partnership between LafargeHolcim and TOTAL S.A. – is building a 1 TPD plant in Richmond, British Columbia, that will re-inject captured CO2 into concrete as a storage solution, while the construction of a 30 TPD demonstration plant was completed this summer at Husky Energy’s Pikes Peak South thermal project in Saskatchewan, Canada.",Series C,"33,600,000",Carbon Capture,Emerging,2007,Canada,Cement,TRUE,,,,
Carbon8 Systems,http://c8s.co.uk/,"Carbon8 Systems is the first company to use Accelerated Carbonation Technology (ACT), a treatment for industrial wastes and contaminated soils. Carbon8 Systems has developed a process known as Accelerated Carbonation Technology (ACT), which uses carbon dioxide (CO2) to carbonate and treat a broad range of industrial by-products and residues.
The technology has a unique combination of benefits that have a real contribution to the circular economy:
-Diversion of waste from landfill
-Permanent capture of CO2
-Replacement of natural aggregates with low carbon, sustainable products",Seed,"791,200",Carbon Capture,Emerging,2006,United Kingdom,Cement,TRUE,,,,
Air Co,https://aircompany.com/,"Air Co.’s patented technology transforms carbon dioxide captured from the air into impurity-free ethyl alcohol that can be used in spirits, fragrances, cleaning, and a variety of consumer industries. In the long- term, it can even be used as a renewable and carbon-neutral fuel. Our technology uses only air, water, and sunlight as inputs.",Undisclosed,Undisclosed,Carbon Capture,Distant,2017,USA,Alternative,TRUE,,,,
Breathe,http://breathesciences.com/,"Breathe is a team of scientists, students, engineers, entrepreneurs, all having one audacious objective of containing the carbon dioxide emissions. The team is testing a new strategy to design promising materials for the efficient and selective conversion of CO2 into methanol. Using combined information obtained from experiments and first-principles calculations on alloys/intermetallic/bimetallics/core-shell materials based on low cost Cu, Ni, Fe catalysts, we will identify descriptors of catalytic activity using machine-learning algorithms. These will be used in further theoretical analysis to predict specific materials that hold promise for CO2 reduction.
",,,Carbon Capture,Distant,,India,Both,TRUE,,,,
C2CNT,http://www.c2cnt.com/,"In our C2CNT process, CO2 is directly transformed to hollow nanofibers, “carbon nanotubes,” products with remarkable properties of conductivity, nanoelectronics, higher capacity batteries, flexibility, with greater strength than steel and widespread use as carbon composites. The conversion of CO2 to pure carbon nanotubes provides the most compact form to capture carbon dioxide and mitigate climate change. The market for carbon composites provides lighter weight alternatives to metals, and is used today in the Boeing Dreamliner, high end sport cars, and athletic equipment. The market is experiencing an explosive growth comparable to the historical start of the plastic industry.",,,Carbon Capture,Distant,,Canada,Both,TRUE,,,,
Carbon Capture Machine,https://ccmuk.com/,"Dr Mohammed Salah-Eldin Imbabi’s Aberdeen based team has built a device that appears to be a complex collection of tubes and stirrers some five square metres in size. The Carbon Capture Machine’s tubes pump flue gas directly into slightly alkaline water where it dissolves to produce carbonate, in a process similar in principle to carbonating fizzy drinks. This carbonated water is then mixed with brine – water with a high concentration of salt which contains dissolved calcium and magnesium ions. “Industrial or desalination brine is perfect,” Imbabi explains. The resulting solution precipitates out calcium carbonate – used in everything from stomach antacids to ceramic tiles and PVC – and magnesium carbonate – used to make bricks, toothpaste, athlete’s chalk, neoprene rubber and laxatives.",,,Carbon Capture,Distant,,United Kingdom,Both,TRUE,,,,
CERT,http://co2cert.com/,"The University of Toronto team, explains team leader Alex Ip, “takes CO2, water and renewable electricity – along with a catalyst material we’ve developed – to make ethylene, ethanol, methanol or pretty much any of the building block molecules that you typically get from fossil fuels.""",,,Carbon Capture,Distant,,Canada,Both,TRUE,,,,
Newlight,https://www.newlight.com/,The business makes use of a naturally-occurring microorganism-based biocatalyst that pulls carbon out of the CO2 that’s present in a dilute air stream and combines it with hydrogen and oxygen to produce a naturally-occurring biopolymer material — which behaves just like a very tough plastic. The company has been using the process to break down methane – and in 2016 IKEA agreed to buy 10 billion pounds of the resulting plastic in exchange for the exclusive rights to use the patented material in home furnishings.,,,Carbon Capture,Distant,,USA,Both,TRUE,,,,
Dimentional Energy,https://carbon.xprize.org/prizes/carbon/teams/dimensional_energy,"Dimensional Energy is scaling a photochemical reactor platform technology that enables the utilization of direct sunlight to produce environmentally responsible polymers and chemical intermediaries for industrial partners.  The core intellectual property of Dimensional Energy is licensed from Cornell University and was developed by professors David Erickson and Tobias Hanrath. Powered by a modular array of mirrors to focus sunlight into the reactors, the HI-Light™ system can be sized to any site depending on available space, desired output, or CO2 availability.",,,Carbon Capture,Distant,,USA,Both,TRUE,,,,
Altus Infotec,https://www.altus.ae/,"Altus Infotec is a future technology-driven company that provides solutions for tracking, monitoring, and analysis of assets. Provides information about the location and operational state of assets in real time and enables notifications & alerts based on configurable business rules. Caters to transportation, utilities, energy, agriculture, construction, mining, and other industries",Unfunded,n/a,Predictive Maintenance,Existing,2015,United Arab Emirates,Both,TRUE,,,,
bldbox,https://bldbox.com/,"Bldbox has created technology to predict construction costs for real estate development projects. Done in seconds as opposed to hours and with a degree of accuracy that exceeds the ability of human experts. The tech leverages historical data from contractors to make more accurate assessments. In return, build contractors become a part of the project process and get in front of developers much earlier than they traditionally could. ",Seed,"500,000",Advanced Project Management,Existing,2017,USA,Both,TRUE,,,,
Carbon Cure,https://www.carboncure.com/,"CarbonCure Technologies has developed a green concrete technology by injecting CO2 into it. Carbon dioxide is captured from big emitters and mixed with cement and other ingredients to produce a stronger and fast setting concrete. The gas is permanently converted into embedded solid mineral carbonates. The technology is also licensed to concrete producers, generating a recurring revenue. Winner of SXSW Eco 2012 i2i Award.",Series D,"88,000,000",Carbon Capture,Distant,2007,"USA, Canada, Singapore",Cement,TRUE,,,,
Anomera,https://www.anomera.ca/applications.php,Anomera’s DextraCel™ enhances the hydration of cement to significantly improve flexural strength and compressive strength. DextraCel™ works well in many types of cement and specifically adds benefits by reducing the quantity of cement required to achieve the same structural properties. In pavement DextraCel™ reduces microcracking for increased durability and extends quality lifecycle of the roadbed.,Seed,"2,095,000",New Cement,Emerging,2016,Canada,Cement,TRUE,,,,
Biomason,https://biomason.com/,"bioMASON employs bacteria to grow a durable cement in ambient temperatures between loose grains of aggregate, producing building materials without emitting greenhouse gases, and without the depletion of non-renewable resources. Its products include proprietary manufacturing process and materials used by users for incorporation in existing facilities or on-site manufacturing. They claim that their products can be used in any existing building infrastructure and comparable to other contemporary products",Seed,"9,900,000",New Cement,Emerging,2012,USA,Cement,TRUE,,,,
Calera,http://www.calera.com/,"Calera designed, constructed and operated plants to develop the CO2 capture and conversion technologies. These demonstrations included flue gas from power plants and burning coal, without concentrating the CO2. CO2 captured is converted into a solid calcium carbonate novel cement which helps in reducing global warming and carbon dioxide from the environment. ",Series B,"26,000,000",New Cement,Distant,2007,USA,Cement,TRUE,,,,
Boston Metal,https://www.bostonmetal.com/our-benefits/#greener,"Boston Metal is a global metals technology solutions company that is commercializing Molten Oxide Electrolysis (MOE), a patented tonnage metals production platform. MOE provides the metals industry with a more efficient, lower cost, and greener solution for the production of a wide variety of metals and alloys from a wide variety of feedstocks. Boston Metal works closely with customers to tailor the MOE technology for specific alloys, feedstocks, and business needs.",Series A,"32,000,000",New Cement,Emerging,2012,USA,Both,TRUE,,,,
Carbicrete,carbicrete.com,"Carbicrete is a provider of technology solutions to concrete manufacturers. The company offers process & materials for the production of pre-cast concrete with less CO2 emissions. It leverages carbon activation technology which eliminates the need for cement in concrete manufacturing.

Carbicrete’s process takes steel slag – the complex silicate and oxide rich waste products from a steel plant currently dumped in slag piles at steel works – and mixes it with purified CO2 in an enclosed chamber. Flue gas is roughly eight per cent CO2 – and Carbicrete needs to get that up to fifty or sixty per cent working with commercial carbon capture partners. “The CO2 gas reacts with the calcium and silicate in the slag to create a product that behaves like cement,” Mahoutian explains. “We’re already fixing 200kg CO2 per day – the next step is scaling up to two tonnes.”",Seed,"2,100,000",New Cement,Distant,2016,Canada,Cement,TRUE,,,,
LC3,https://www.lc3.ch/,"LC3 is a new type of cement that is based on a blend of limestone and calcined clay. LC3 can reduce CO2 emissions by up to 30%, is made using limestone and low-grade clays which are available in abundant quantities, is cost effective and does not require capital intensive modifications to existing cement plants.
A viable solution for large scale production of low carbon cement",Seed,"4,000,000",New Cement,Distant,2014,Switzerland,Cement,TRUE,,,,
LeHigh Technologies,http://lehightechnologies.com/,"This Atlanta firm turns old tyres and other rubber waste into something called micronized rubber powder, which can then be used in a wide variety of applications from tyres to plastics, asphalt and construction material. Five hundred million new tyres have been made using its products, earning it the Award for Circular Economy SME.

Lehigh Technologies is a specialty chemicals company that produces highly engineered, versatile raw materials called micronized rubber powders (MRP) that can replace oil- and rubber-based feedstocks in a wide range of applications. MRP delivers product performance, lower production costs and reduced waste. By transforming waste materials into high-value products, Lehigh provides a sustainable solution to the important environmental problem of end-of-life tires and other post-industrial rubber material.",Acquired,"92,600,000",New Cement,Emerging,2003,USA,Cement,TRUE,,,,
Celitement,http://www.celitement.de/en/,Celitement is a new hydraulic binder that causes up to 50% less carbon dioxide than portland cement. ,Undisclosed,Undisclosed,New Cement,Distant,2017,Germany,Cement,TRUE,,,,
Hoffmann Green Cement Technologies,https://www.ciments-hoffmann.com/,"A pioneer in low-carbon cement. Hoffmann Green innovates by formulating 3 low carbon cements: H-UKR, H-EVA and H-P2A. A pioneer in low-carbon cement, Hoffmann Green combines sustainable development, a circular economy and industrial performance.",Public,"72,487,733",New Cement,Emerging,2015,France,Cement,TRUE,,,,
Ecocem,https://www.ecocem.co.uk/products/ecocem-cementcem-iiia/,"Ecocem Cement (CEM III/A) is a specially formulated blend of traditional cement and a minimum of 50% Ground Granulated Blastfurnace Slag (GGBS) that is EN 197-1 certified CEM III/A 42.5N cement.

Its unrivaled strength, durability and low heat properties make Ecocem CEM III/A ideally suited to marine, agricultural and chemically aggressive environments as well as deep pour foundations such as wind farms. The whiter colour and smoother finish achieved with Ecocem CEM III/A make it the cement of choice for architectural concrete.",Undisclosed,Undisclosed,New Cement,Distant,2003,Ireland,Cement,TRUE,,,,
Zeobond,http://www.zeobond.com/products-e-crete.html,"Zeobond was founded with the vision of developing geopolymer technology and pioneering its commercialisation to make cement manufacture a far more sustainable and environmentally less harmful process. E-Crete™ is Zeobond’s proprietary geopolymer technology product. Consisting of fly ash, the by-product of burning coal at a power station, and slag, the by-product of steel manufacturing, E-Crete™ reduces the embedded CO2 of concrete by at least 60% compared to Ordinary Portland Cement (OPC) based concrete. ",Undisclosed,Undisclosed,New Cement,Distant,2006,Australia,Cement,TRUE,,,,
Skycatch,https://www.skycatch.com/,"Skycatch builds technology to autonomously capture, process, and analyze 3D drone data to provide companies with an accurate visualization of the physical world. Use cases include: Structural inspections, logistics planning, physical twin building (3D digital model)",Series B,"48,000,000",Advanced Project Management,Emerging,2013,"Primarily USA, with global clients like Komatsu",Both,TRUE,,,,
Delair,https://delair.aero/,"Powerful cloud-platform and industry-specific analytics turn aerial data into actionable business insights. Operations get safer and more efficient. Rapidly and repeatedly collect and analyze the drone imagery across sites in a scalable and easy way. Features include: Digital twin, advanced stockpile analytics, plan provisioning and accounting. Automated stockpile reports save you time and enable you to deliver information to the stakeholders in a timely and accurate fashion.",Series B,"48,000,000",Operations Intelligence,Emerging,2011,France,Both,TRUE,,,,
Element Analytics,https://www.elementanalytics.com/,"Element Analytics develops industry-specific solutions for heavy industry applications. Provides digital twin solutions for the delivery of time-series and business data based on the operations of an organization. The data scientists can use the platform to explore and analyze industrial data, by automatically incorporating contextual influences. The product can be used by customers in the Power Generation, Manufacturing, Transmission Distribution, Mining, Utilities, Chemicals, and Facilities sectors. ",Series A,"26,500,000",Operations Intelligence,Existing,2014,USA,Both,TRUE,,,,
Lllamazoo,https://www.llamazoo.com/,"Digital twin platform for oil & gas, aerospace and mining industries that helps to plan and monitor operations & progress through data visualization. Was awarded the Startup of the Year at 2015 Viatec Technology Awards. Content is created using MRI and CT imaging in cooperation with institutions.",Seed,"500,000",Operations Intelligence,Distant,2014,Canada,Mining,TRUE,,,,
DataCloud,https://www.datacloud.com,"DataCloud is a cloud-based data analytics solution for the mining industry. DataCloud’s integrated suite of tools and applications use the automated IoT sensors, artificial intelligence, and the cloud to visualize and understand rock benches in real-time, producing insights that help monitor drill and blast outcomes. Solutions include RockMaster SWD (Seismic While Drilling), RockMaster SWI (Surface Wave Imaging), RockMaster BHI (Blast Hole Imaging), RockMAster MWD (Meas. While Drilling), MinePortal (""Earthmodel"" GeoScience Data Platform), and MineMigrator (Lift and Shift Service).",Series A,"12,000,000",Operations Intelligence,Emerging,2016,USA,Mining,TRUE,,,,
MineIQ,http://mineiq.com/,MineIQ provides software solutions to mining companies for visualizing and utilizing relevant data. Provides a tool for storing the acquired data from mining operations in a central repository. Offers reporting and visualization solutions enabling businesses to extract insights from the collected data to optimize their processes.,Seed,"41,000",Operations Intelligence,Existing,2013,Canada,Mining,TRUE,,,,
Lightship Works,https://www.lightshipworks.com,"Lightship is a map interface that shows the location and status of people, assets and sensor for a work space. Any incoming data can be added as a visible layer like weather, range of devices and sensors. Application can also track work force using wearable and message can be relayed.",Seed,"1,300,000",Operations Intelligence,Emerging,2011,Canada,Mining,TRUE,,,,
DataProphet,https://dataprophet.com/,"DataProphet offers AI-based solutions for quality management for auto, steel, and mineral processing industries. The company offers an AI suite that includes modules such as DataProphet Prescribe, which provides deep learning-based optimum plant control parameters and DataProphet Inspect, which provides machine learning-based inspection solutions to detect manufacturing defects. It also provides consulting services to the Retail/FMCG, insurance, financial services, manufacturing, and energy industries. Clientele includes Daimler, BMW, Gerdau, Atlantis Foundries",Series A,"14,000,000",Operations Intelligence,Emerging,2013,South Africa,Mining,TRUE,,,,
Sitemark,sitemark.com,"Sitemark is a provider of a software solution for drone deployment. The software allows users to control drones from a tablet interface and is targeted at commercial solar sites, construction projects, & mining/industrial sites. It enables users to measure volume/grade/distance on a site, create pdf/csv reports, collaborate across teams, visually track progress on a site, conduct surveys, create CAD models, perform inspections, and more. It also uses machine learning based algorithms to analyze the collected data. Used in the solar energy sector to provide aerial insights of solar site construction and inspection.",Series A,"8,790,080",Operations Intelligence,Emerging,2016,Belgium,Both,TRUE,,,,
Eigen,https://www.eigen.io/,"Eigen Innovations provides artificial intelligence based software solution for the Industrial Internet of Things applications. The software processes data from disparate sources and aggregates them into a simplified interface where the operators can identify and define common traits and outliers in the same. It then uses a combination of the collected data and operator insights to continue analyzing data, learning over time the best practices for the factory. The company claims that the software can anticipate and correct potential problems it detects thereby automatically adjusting the settings of certain key machines to ensure smooth operations. Applications are in the areas of automotive, food processing, construction materials, mining/smelting etc. The company in 2016 was selected to be a part of Cohort Silicon Valley Accelerator programme. It has won multiple awards such as Cisco Innovation Grand Challenge, Dell Connect What Matters Contest, KIRA Awards etc",Series A,"5,500,000",Operations Intelligence,Emerging,2012,Canada,Both,TRUE,,,,
Sinfosy,sinfosy.com,Software solutions for smart manufacturing and asset tracking,Series A,"11,000,000",Operations Intelligence,Existing,2015,Germany,Both,TRUE,,,,
Sight Machine,https://sightmachine.com/,"Powering Digital manufacturing. Sight Machine specializes in manufacturing analytics and used by Global 500 companies to make better, faster decisions about their operations. Sight Machine's analytics platform, purpose-built for discrete and process manufacturing, uses artificial intelligence, machine learning, and advanced analytics to help address critical challenges in quality and productivity throughout the enterprise.

The platform is powered by the industry’s only Plant Digital Twin, which enables real-time visibility and actionable insights for every machine, line, and plant throughout an enterprise.",Series C,"59,900,000",Operations Intelligence,Existing,2012,USA,Both,TRUE,,,,
Veerum,https://www.veerum.com/platform,"Satisfy your customers with a scalable asset visualization solution using VEERUM as your partner. Our non-intrusive technology integrates all asset data into a simple to use online platform that can be accessed from anywhere in the world. From design, to construction, to handover, to operations and maintenance, our asset visualization platform adds value across the entire asset lifecycle. All asset stakeholders have access to a verifiable audit history of the asset. Our next generation technology is adding value to organizations in Energy, Oil and Gas, Hydro, Mining, and more.
Your existing asset data is integrated into the context of a 3D model, making it easy for the entire team to access current asset information. Veerum is a SaaS technology company that transforms capital project delivery using Digital Twin technology.",Seed,"5,700,000",Operations Intelligence,Emerging,2014,Canada,Both,TRUE,,,,
Falkonry,https://falkonry.com/,"Falkonry enables Digital Transformation with Predictive Operations Technology. Falkonry is the leading provider of predictive operations technology for companies looking to achieve significant improvements in the uptime, performance, quality and safety of their operations. Falkonry’s “pre-packaged” machine learning system, Falkonry LRS, enables operations teams to discover, explain and predict behaviors that matter, without requiring data scientists. Falkonry LRS complements a users domain expertise with predictive analytics to more deeply understand their operations, and can scale across assets, processes and operations. Our ready-to-use machine learning system, called Falkonry LRS, can be deployed and used directly by practitioners such as manufacturing engineers or process engineers, and does not require data scientists. In fact it is like a “data scientist-in-a-box” and can be deployed both on-premises or in the cloud.",Series A,"10,900,000",Operations Intelligence,Emerging,2012,USA,Both,TRUE,,,,
Arundo,https://www.arundo.com/,"We are building a more sustainable world through data-driven insights for industrial operations. Our software enables advanced analytics, machine learning, and IoT applications for more efficient, safer, and more effective physical systems. IMPROVE PROCESS AND EQUIPMENT PERFORMANCE ACROSS UNITS AND PLANTS. Get continuous insight into process unit and equipment performance beyond traditional control and simulation packages. Combine data analytics with existing simulation models and in-house expertise to get the best of IoT analytics for your plant.",Series A,"32,700,000",Operations Intelligence,Emerging,2015,USA,Both,TRUE,,,,
